#class	isNamedIndividual	Description
Constraint	false	Constraint describes the criteria which defines the subset of individuals observed in the analyzed experimental group of an experiment.
Lower	true	Lower is an observed qualitative difference between experimental groups in the course of an experiment and indicates a decreased level of an investigated property or variable.
RatSpecies	false	Rat Species is the taxonomic genus Rattus. that is amenable to experimentation.
Event	false	Event is a processual entity that is a maximally connected spatiotemporal whole and has bona fide beginnings and endings corresponding to real discontinuities.
DefinedExperimentalGroup	false	Defined Experimental Group is the group of individuals as defined before data analysis in the course of an experiment.
LongEvansRat	true	Long Evans Rat is an outbred strain of rats developed in 1915 by crossing several Wistar Institute white females with a wild gray male. Inbred strains have been derived from this original outbred strain, including Long-Evans cinnamon rats (RATS, INBRED LEC) and Otsuka-Long-Evans-Tokushima Fatty rats (RATS, INBRED OLETF), which are models for Wilson's disease and non-insulin dependent diabetes mellitus, respectively.
BladderExpression	true	Bladder expression is the procedure of assited bladder voiding. It can be achieved either via catheterization or manual expression of the bladder or similar methods.
Protein	false	Protein is a linear polypeptide that is synthesized on ribosomes and may be further modified, crosslinked, cleaved, or assembled into complex proteins with several subunits. The specific sequence of amino acids determines the shape the polypeptide will take, during protein folding, and the function of the protein.
Extremity	false	Extremity is a projection of the body such as hand and foot which is the target tissue of neuronal innervation.
AneurysmClip	false	Aneurysm clip is a surgical instrument used to treat a balloon-like bulge of an artery wall known as an aneurysm. In experimental spinal cord injury studies these clips are used to inflict compression lesions to the spinal cord.
Result	false	Result is the outcome of an experiment and represents the findings of a study. The recorded value of the outcome of some test. There can be more than one result per publication.
Ice	true	Ice is the solid substance formed by the freezing of water.
ICOSCorporation	true	ICOS Corporation is a company which distributes compounds used in spinal cord injury experimental studies, among others.
Pressure	false	Pressure is a type of stress exerted uniformly in all directions. Its measure is the force exerted per unit area. (McGraw-Hill Dictionary of Scientific and Technical Terms, 6th ed)
Hypothesis	true	Hypothesis is a proposed explanation for a phenomenon.
Pioglitazone	false	Pioglitazone with the chemical structure 5-(4-(2-(5-ethyl-2-pyridyl)ethoxy)benzyl)-2,4-thiazolidinedione is a PPAR agonist used for type II diabetes.
T7	true	T7 is the seventh thoracic vertebra counting from the top down.
RatModel	false	Rat Model is an animal of the genus Rattus that is amenable to experimentation.
T8	true	T8 is the eighth thoracic vertebra counting from the top down.
IridectomyScissors	true	Iridectomy Scissors is a surgical instrument normally used for eye surgery, in this context used to perform a cut of the spinal cord.
Experiment	false	Experiment is a coordinated set of actions and observations designed to generate data, with the ultimate goal of discovery or hypothesis testing.
T9	true	T9 is the ninth thoracic vertebra counting from the top down.
T3	true	T3 is the third thoracic vertebra counting from the top down.
SpringScissors	true	Spring Scissors is a special type of scissors where a sping is attached to pull the scissor in a closed position.
T4	true	T4 is the fourth thoracic vertebra counting from the top down.
BW755C	false	BW755C with the chemical structure 4,5-Dihydro-1-(3-(trifluoromethyl)phenyl)-1H-pyrazol-3-amine is a dual inhibitor of both cyclooxygenase and lipoxygenase pathways. It exerts an anti-inflammatory effect by inhibiting the formation of prostaglandins and leukotrienes. The drug also enhances pulmonary hypoxic vasoconstriction and has a protective effect after myocardial ischemia.
LightIntensity	false	Light Intensity is the power of a light source measured in lux.
NewZealandRabbit	true	The New Zealand is a breed of rabbit, which despite the name, is American in origin. The breed originated in California, possibly from rabbits imported from New Zealand. New Zealand rabbits are available in five ARBA-recognized colors: white, red, black, blue, and broken (color mingled with white). Crossbreeding can result in many different combinations of the three basic pigmentations. The most common of these variations are gold tipped steel and chestnut agouti. They average 10 to 12 lb (5 kg) with the does being slightly larger than the bucks. New Zealands are bred for meat, pelts, show, and laboratory uses, being the most used rabbit breed both for meat production and animal testing. They are also bred as pet rabbits.
T5	true	T5 is the fifth thoracic vertebra counting from the top down.
Significance	false	Significance is a concept in statistics, a number that expresses the probability that the result of a given experiment or study could have occurred purely by chance. This number can be a margin of error or it can indicate a confidence level.
Vertebrae	false	Vertebrae are bones which form the column around the spinal cord.
T6	true	T6 is the sixth thoracic vertebra counting from the top down.
SchwannCellChangesTest	false	Schwann Cell Changes Test is the histological examination of alterations in the neuroglial cells of the peripheral nervous system which form the insulating myelin sheaths of peripheral axons. After spinal cord injury, these cells can migrate into the lesion area or beyond this.
T1	true	T1 is the first thoracic vertebra counting from the top down.
T2	true	T2 is the second thoracic vertebra counting from the top down.
VoltageApplication	false	Voltage Application is an electromagnetic field treatment for spinal cord injury using application of a voltage gradient into the tissue usually by external or implanted electrodes.
HindpawSensationTest	false	Hindpaw Sensation Test is the examination of sensation threshold in the hindpaws other than pain reception in the animal, measured by behavioural signs of perception and not electrophysiologial means.
VertebralSegment	false	Vertebral Segment is an anatomical location inside the vertebral column which comprises more than one vertebra. In contrast to Vertebral Area it does  not include information about the exact vertebral bone.
VentralHemisection	false	Ventral Hemisection is the partial transection of the spinal cord at the ventral side, leaving the dorsal spinal tracts intact.
Interval	false	No description provided
PartialTransectionType	true	The "partial transection type" describes the type of an uncontrolled partial transection injury that was caused by an accident.
AxonalDamageTest	false	Axonal Damage Test is the investigation of axonal damage as a measure for failed neuroprotection measured with histological methods.
ObservedDifference	false	Observed Difference is a qualitative characteristic of a feature that is investigated between experimental groups and is not identical between these.
InclinedPlaneTest	false	Inclined Plane Test is a functional test for muscle strength of the upper and lower limbs and balance where the animals bevahiour on an inclined plane is tested.
ContusionType	true	The "contusion type" describes the type of an uncontrolled contusion injury that was caused by an accident.
NucleicAcid	false	Nucelic Acid is a high molecular weight polymer containing a mixture of purine and pyrimidine nucleotides chained together by ribose or deoxyribose linkages.
RabbitModel	false	Rabbit Model is an animal of the family Leporidae that is amenable to experimentation.
Slower	true	Slower is an observed qualitative difference between experimental groups in the course of an experiment and indicates a decreased velocity or longer time to reach a certain status. It also describes measurements of recovery.
