#superClass	subClass
CuttingDevice	Blade
CuttingDevice	ScoutenWireKnife
CuttingDevice	Vibraknife
InjuryDevice	Clip
InjuryDevice	AirGunImpactor
InjuryDevice	CuttingDevice
InjuryDevice	DistractorDevices
InjuryDevice	Scissors
InjuryDevice	LightSource
InjuryDevice	SpinalCordStrapper
InjuryDevice	Balloon
InjuryDevice	WeightDrop
InjuryDevice	Forceps
ObservationOfBehaviour	SpasticityObservation
ObservationOfBehaviour	LethargyObservation
ObservationOfBehaviour	GroomingObservation
ObservationOfBehaviour	MortalityObservation
ObservationOfBehaviour	AutophagyObservation
ObservationOfBehaviour	SurvivalObservation
Event	InjuryByAccident
Event	Sacrifice
Event	Retransection
Event	Observation
Event	Injury
Event	Treatment
HistologicalInvestgationTest	NeuronalChangesTest
HistologicalInvestgationTest	NonNeuronalCellChangesTest
HistologicalInvestgationTest	SecondaryDegenerationTest
HistologicalInvestgationTest	ScarringTest
ExperimentalGroup	DefinedExperimentalGroup
ExperimentalGroup	AnalyzedExperimentalGroup
SensoryFunction	HeatSensation
SensoryFunction	Hyperalgesia
SensoryFunction	Allodynia
SensoryFunction	TouchSensation
Balloon	FogartyBalloonCatheter
ElectrophysiologyTest	MotorEvokedPotentialsTest
ElectrophysiologyTest	SomatosensoryEvokedPotentialsTest
ElectrophysiologyTest	SpinalCordEvokedPotentialsTest
Lentivirus	NT3Lentivirus
NeurologicScalesTest	BBBSubscoreTest
NeurologicScalesTest	BBBTest
NeurologicScalesTest	GaleRatingScoreTest
NeurologicScalesTest	OpenFieldTest
NeurologicScalesTest	BMSTest
Injury	Contusion
Injury	Dislocation
Injury	Distraction
Injury	Laminectomy
Injury	PartialTransection
Injury	Compression
Injury	CompleteTransection
Injury	ChemicalInjury
Apparatus	TreadScan
Apparatus	MotoRater
Apparatus	VerticalGrid
Apparatus	CatWalkGaitAnalysisSystem
Apparatus	HargreavesApparatus
Apparatus	VonFreyFilaments
Apparatus	GripStrengthMeter
Apparatus	DigiGait
Apparatus	RunwayScan
Apparatus	Rotarod
BodyTemperatureMeasurement	MeasurementOfIncreasingTemperature
BodyTemperatureMeasurement	MeasurementOfDecreasingTemperature
NucleicAcid	RNA
NucleicAcid	DNA
MedicationDuringSurgery	Glycopyrrolate
MedicationDuringSurgery	Anaesthetic
MedicationDuringSurgery	AtropineSulfate
MedicationDuringSurgery	Sedative
PhysiologyTest	GastricUlcerogenesisTest
PhysiologyTest	CardioVascularFunctionTest
PhysiologyTest	BloodBrainBarrierTest
PhysiologyTest	AutonomicDysreflexiaTest
PhysiologyTest	UrineVoidingTest
Direction	Right
Direction	Caudal
Direction	Left
Direction	Rostral
MolecularChangesTest	ProteinLevelAnalysis
MolecularChangesTest	GeneExpressionAnalysis
RehabilitativeTraining	TreadmillTraining
RehabilitativeTraining	EnrichedEnvironment
CentralNervousSystem	SpinalCord
CentralNervousSystem	Brain
AnimalSpecies	MonkeySpecies
AnimalSpecies	MinipigSpecies
AnimalSpecies	MouseSpecies
AnimalSpecies	CatSpecies
AnimalSpecies	RabbitSpecies
AnimalSpecies	GuineaPigSpecies
AnimalSpecies	RatSpecies
AnimalSpecies	DogSpecies
Electrodes	OscillatingFieldStimulator
VertebralLocation	Vertebrae
VertebralLocation	VertebralSegment
VertebralLocation	VertebralArea
Retrovirus	Lentivirus
NeuronalChangesTest	NeurogenesisTest
NeuronalChangesTest	NeuroprotectionTest
NeuronalChangesTest	NeuronalCellLossTest
NeuronalChangesTest	MyelinationTest
NeuronalChangesTest	AxonalChangesTest
NeuronalChangesTest	NeuronalActivityTest
InVitroExperimentalProcedure	Proliferation
InVitroExperimentalProcedure	Purification
InVitroExperimentalProcedure	NuclearTransfection
InVitroExperimentalProcedure	Dedifferentiation
PartialTransection	DorsalHemisection
PartialTransection	VentralHemisection
PartialTransection	LateralHemisection
Dosage	DosageExtracorporal
Dosage	DosageIntracorporal
SpinalCord	LesionAdjacentTissue
SpinalCord	Intraspinal
SpinalCord	Intrathecal
GuineaPigSpecies	HartleyGuineaPig
DNA	VimentinAntiSenseDNA
ElectromagneticField	CurrentApplication
ElectromagneticField	MagneticFieldApplication
ElectromagneticField	VoltageApplication
Significance	PositiveSignificance
Significance	ZeroSignificance
